,source,paragraph_text,source-paragraph-text
4,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,  Contents ,Commodities
5,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,  Section 1 - The Two Factors of a Commodity: Use-Value and Value   Section 2 - The two-fold Character of the Labour Embodied in Commodities   Section 3 - The Form of Value or Exchange-Value  ,Commodities
6,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,  A. Elementary or Accidental Form of Value  ,Commodities
7,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,  1. The Two Poles of the Expression of Value: Relative Form and Equivalent Form   2. The Relative Form of Value  ,Commodities
8,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,  a. The Nature and Import of this Form   b. Quantitative Determination of Relative Value  ,Commodities
9,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,  3. The Equivalent Form of Value   4. The Elementary Form of Value Considered as a Whole  ,Commodities
10,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,  B. Total or Expanded Form of Value    ,Commodities
11,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,  1. The Expanded Relative Form of Value   2. The Particular Equivalent Form   3. Defects of the Total or Expanded Form of Value  ,Commodities
12,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,  C. The General Form of Value  ,Commodities
13,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,"  1. The Altered Character of the Form of Value   2. The Interdependent Development of the Relative Form of Value, and of the Equivalent Form   3. Transition from the General Form of Value to the Money-Form  ",Commodities
14,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,  D. The Money-Form  ,Commodities
15,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,  Section 4 - The Fetishism of Commodities and the Secret thereof  ,Commodities
17,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,"  The wealth of those societies in which the capitalist mode of production prevails, presents itself as “an immense accumulation of commodities,” its unit being a single commodity. Our investigation must therefore begin with the analysis of a commodity.  ",Commodities
18,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,"  A commodity is, in the first place, an object outside us, a thing that by its properties satisfies human wants of some sort or another. The nature of such wants, whether, for instance, they spring from the stomach or from fancy, makes no difference. Neither are we here concerned to know how the object satisfies these wants, whether directly as means of subsistence, or indirectly as means of production.  ",Commodities
19,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,"  Every useful thing, as iron, paper, &c., may be looked at from the two points of view of quality and quantity. It is an assemblage of many properties, and may therefore be of use in various ways. To discover the various uses of things is the work of history. So also is the establishment of socially-recognized standards of measure for the quantities of these useful objects. The diversity of these measures has its origin partly in the diverse nature of the objects to be measured, partly in convention.  ",Commodities
20,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,"  The utility of a thing makes it a use value. Use values become a reality only by use or consumption: they also constitute the substance of all wealth, whatever may be the social form of that wealth. In the form of society we are about to consider, they are, in addition, the material depositories of exchange value.  ",Commodities
21,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,"  Exchange value, at first sight, presents itself as a quantitative relation, as the proportion in which values in use of one sort are exchanged for those of another sort, Let us consider the matter a little more closely.   ",Commodities
22,https://www.marxists.org/archive/marx/works/1867-c1/ch01.htm,"  A given commodity, e.g., a quarter of wheat is exchanged for x blacking, y silk, or z gold, &c. – in short, for other commodities in the most different proportions. Instead of one exchange value, the wheat has, therefore, a great many. But since x blacking, y silk, or z gold &c., each represents the exchange value of one quarter of wheat, x blacking, y silk, z gold, &c., must, as exchange values, be replaceable by each other, or equal to each other. Therefore, first: the valid exchange values of a given commodity express something equal; secondly, exchange value, generally, is only the mode of expression, the phenomenal form, of something contained in it, yet distinguishable from it.   ",Commodities
